Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,3,0,-0.571902002975338,1,0,-0.5024451714361923,False,True
1,1,1,0.65778516257493,1,0,0.7868452935884461,False,False
1,3,1,-0.264480211587771,0,0,-0.4888542575852486,False,True
1,1,1,0.4272188190342548,1,0,0.4207302360686478,False,True
0,3,0,0.4272188190342548,0,0,-0.4863374216869257,False,True
0,3,0,-0.03391386804709575,0,0,-0.47811642890864375,True,False
0,1,0,1.8874723281251982,0,0,0.395813560675251,False,True
0,3,0,-2.109010959913173,3,1,-0.22408312108167944,False,True
1,3,1,-0.18762476374087925,0,2,-0.4242561406845337,False,True
1,2,1,-1.186745585750472,1,0,-0.04295550208861426,False,False
1,3,1,-1.9553000642193896,1,1,-0.312172377522981,False,True
1,1,1,2.194894119512765,0,0,-0.11384570873513637,False,True
0,3,0,-0.7256128986691215,0,0,-0.4863374216869257,False,True
0,3,0,0.7346406104218218,1,5,-0.01870931177853076,False,True
0,3,1,-1.186745585750472,0,0,-0.4902797934380587,False,True
1,2,1,1.9643277759720899,0,0,-0.3262666585535892,False,True
0,3,0,-2.109010959913173,4,1,-0.06199888922968463,True,False
1,2,0,-0.03391386804709575,0,0,-0.3866707201133388,False,True
0,3,1,0.11979702764668776,1,0,-0.2859972841804228,False,True
1,3,1,-0.18762476374087925,0,0,-0.5029485386158568,False,False
0,2,0,0.4272188190342548,0,0,-0.12491978668775715,False,True
1,2,0,0.350363371187363,0,0,-0.3866707201133388,False,True
1,3,1,-1.1098901379035804,0,0,-0.4867562231804066,True,False
1,1,0,-0.1107693158939875,0,0,0.06635974158478332,False,True
0,3,1,-1.6478782728318226,3,1,-0.22408312108167944,False,True
1,3,1,0.65778516257493,1,5,-0.016444159470040135,False,True
0,3,0,-0.03391386804709575,0,0,-0.5029485386158568,False,False
1,3,1,-0.18762476374087925,0,0,-0.48977642625839407,True,False
0,3,0,-0.03391386804709575,0,0,-0.4894421904510968,False,True
0,1,0,0.8114960582687135,0,0,-0.09027201697708476,False,False
1,1,1,-0.18762476374087925,1,0,2.301728820789,False,False
1,3,1,-0.18762476374087925,0,0,-0.49237782784290063,True,False
